"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"GEO K4191CC CARGADOR LIVING NOW USB TIPO C+C 1 MODULO","ELECTRICO E ILUMINACION","PZ","1007.5","2026-03-17"
"GEO K4703L SOPORTE 3 MODULOS INCLUYE TORNILLOS DE 45MM","ELECTRICO E ILUMINACION","PZ","63.4","2026-03-19"
"GEO K4704L SOPORTE 4 MODULOS INCLUYE TORNILLOS DE 45MM","ELECTRICO E ILUMINACION","PZ","99.59","2026-01-19"
"GEO K4706 SOPORTE 6 MODULOS INCLUYE TORNILLOS DE 45MM","ELECTRICO E ILUMINACION","PZ","162.5","2026-01-19"
"GEO KA4803KG PLACA COLOR NEGRO 3 MODULOS","ELECTRICO E ILUMINACION","PZ","116.34","2026-01-19"
"GEO KA4804KG PLACA COLOR NEGRO 4 MODULOS","ELECTRICO E ILUMINACION","PZ","149.01","2026-01-19"
"GEO KA4806KG PLACA COLOR NEGRO 6 MODULOS","ELECTRICO E ILUMINACION","PZ","189.62","2026-02-06"
"GEO KG01 CUBRETECLA INTERRUPTOR (K4001)","ELECTRICO E ILUMINACION","PZ","27.97","2026-03-18"
"GEO KG08 CUBRETECLA CONECTOR TV Y MODULO CIEGO","ELECTRICO E ILUMINACION","PZ","29.59","2026-02-06"
"GEO KG13C CUBRETECLA PARA 2 CARGADORES USB DE 1 MODULO","ELECTRICO E ILUMINACION","PZ","75.95","2026-02-06"
"GEO KG4018 CONTROL DE VENTILADOR DE 1 MODULO 110/220V","ELECTRICO E ILUMINACION","PZ","1705.0","2026-02-06"
"GEO KG4129 TOMACORRIENTE SENCILLA 2P+T CON PROTECCION","ELECTRICO E ILUMINACION","PZ","138.27","2026-01-19"
"GEO KG51 CUBRETECLA TOMACORRIENTE SENCILLA (KG4129)","ELECTRICO E ILUMINACION","PZ","59.17","2026-02-06"
"GHIDINI 55744285504 MILENA MAN YALE","FERRETERIA","PZ","617.92","2026-01-05"
"GHIDINI 55744406004 MILENA CREMONESE","FERRETERIA","PZ","765.04","2026-01-05"
"GHIDINI 55744577004 MILENA DK 10 DESTRE RIGHT - LEFT 10 SINISTRE","FERRETERIA","PZ","617.92","2026-01-05"
"GIS BLANCO","PAPELERIA","PZ","",""
"GOTERO/PIPETA 3ml SKU 881365803792","BARNIZ, ACEITE Y PINTURA","PZ","",""
"GRAPA SELLO PUNTEADO PARA FLEJE DE PLASTICO","FERRETERIA","PZ","",""
"GRAPA TRUPER 1/2"" (12mm), CAL. 24, CODIGO 17968","FERRETERIA","CAJA","",""
"GRAPA TRUPER 3/8 CAL 22 13mm CODIGO 13245","FERRETERIA","CAJA","66.38","2025-04-15"
"GRAPA TRUPER 3/8"" (6mm), CAL. 22, 6mm (1/4"") GRANEU-3/8-6, CODIGO 18282","FERRETERIA","CAJA","44.42","2024-12-31"
"GRAPAS ESTANDAR USO RUDO TRUPER 12mm (1/2"") ET-50-1/2"" 1000 PZ","FERRETERIA","CAJA","",""
"GRASA AUTOMOTRIZ BARDAHL","MANTENIMIENTO","PZ","125","2025-03-06"
"GRASA P/BALEROS BAT3 ROSHFRANS 425G","MANTENIMIENTO","PZ","",""
"GRAVA 3/4 CANTO RODANTE","CONSTRUCCION","CARRO","",""
"GUANTE ANTICORTE NIVEL 5 DE POLIETILENO DE ALTA DENSIDAD CON POLIURETANO 51-625 TALLA #7","EQ SEGURIDAD","PAR","70.32","2026-02-17"
"GUANTE ANTICORTE NIVEL 5 DE POLIETILENO DE ALTA DENSIDAD CON POLIURETANO 51-625 TALLA #8","EQ SEGURIDAD","PAR","70.32","2026-02-17"
"GUANTE ANTICORTE NIVEL 5 DE POLIETILENO DE ALTA DENSIDAD CON POLIURETANO 51-625 TALLA #9","EQ SEGURIDAD","PAR","66.29","2025-05-22"
"GUANTE BICOLOR ALPHA TEC 87-224 T-8","EQ SEGURIDAD","PAR","",""
"GUANTE BICOLOR ANSELL 87-224 T-8","EQ SEGURIDAD","PAR","",""
"GUANTE CARNAZA P/SOLDAR","EQ SEGURIDAD","PAR","",""
"GUANTE DE ACRILICO NARANJA RECUBIERTO C/LATEX GRIS T-10, T-9, T-8","EQ SEGURIDAD","PAR","",""
"GUANTE DE CARNAZA","EQ SEGURIDAD","PAR","85.34","2025-01-02"
"GUANTE DE HULE LATEX DERMA CARE MOD. 56-300","EQ SEGURIDAD","PAR","",""
"GUANTE DE NITRILO VERDE 13"" DERMA CARE MOD. 67-175 #10","EQ SEGURIDAD","PAR","26.94","2025-05-21"
"GUANTE DE NITRILO VERDE 13"" DERMA CARE MOD. 67-175 #7","EQ SEGURIDAD","PAR","26.94","2025-05-22"
"GUANTE DE NITRILO VERDE 13"" DERMA CARE MOD. 67-175 #8","EQ SEGURIDAD","PAR","28.58","2026-02-17"
"GUANTE DE NITRILO VERDE 13"" DERMA CARE MOD. 67-175 #9","EQ SEGURIDAD","PAR","26.94","2025-05-22"
"GUANTE DE TRABAJO RECUBIERTO CON NITRILO ""CH""","EQ SEGURIDAD","PAR","",""
"GUANTE DE TRABAJO RECUBIERTO CON NITRILO ""G""","EQ SEGURIDAD","PAR","",""
"GUANTE DE TRABAJO RECUBIERTO CON NITRILO ""M""","EQ SEGURIDAD","PAR","",""
"GUANTE SOLVEX 185 TALLA 8","EQ SEGURIDAD","PAR","",""
"GUANTES RESISTENTES A CORTES FOUR-AM ""L"" P/TRABAJO PESADO A PRUEBA DE CORTES, REVEST DE NITRILO ANTIDESLIZANTES","EQ SEGURIDAD","PAR","",""
"GUANTES RESISTENTES A CORTES FOUR-AM ""M"" P/TRABAJO PESADO A PRUEBA DE CORTES, REVEST DE NITRILO ANTIDESLIZANTES","EQ SEGURIDAD","PAR","",""
"GUANTES RESISTENTES A CORTES FOUR-AM ""S"" P/TRABAJO PESADO A PRUEBA DE CORTES, REVEST DE NITRILO ANTIDESLIZANTES","EQ SEGURIDAD","PAR","",""
"GUARDAPOLVO CON CEPILLO 5.08 X 91.5 CM CAFÉ SKU 154771","FERRETERIA","PZ","257.76","2026-04-16"
"GUIA BUSCADORA HEXAGONAL3-1/8"" B48795 MAKITA","REPUESTOS HERRAMIENTAS","PZ","",""
"GUIA SIMPLE 35MM BRONCE 10101108035 DUCASSE","FERRETERIA","PZ","289.47","2026-02-24"
"GUIA TAURO MD STD DUCASSE 10300001446","FERRETERIA","PZ","222.01","2025-01-29"
"HAFELE 493.06.004 K-PUSH C/IMAN FUERZA MEDIANA","FERRETERIA","PZ","255.46","2025-02-17"
"HAFELE 563.23.995 ESCUADRA DE UNION P/PERFIL MARCO PUERTA P45","FERRETERIA","PZ","",""
"HAFELE 637.38.354 SOPORTE P/ZOCLO NEGRO","FERRETERIA","PZ","",""
"HAFELE 637.38.404 PLACA FIJACION ROSCA INT M10 NEGRO","FERRETERIA","PZ","",""
"HAFELE 637.45.331 PATA C/REGULADOR ENROSCABLE 100MM","FERRETERIA","PZ","",""
"HAFELE 637.76.361 BRAZO EXTENSIBLE DE AJUSTE AXILO","FERRETERIA","PZ","",""
"HAFELE 637.76.370 HERRAMIENTA P/AJUSTE AXILO 48","FERRETERIA","PZ","",""
"HARINA DE TRIGO 10 KG (BULTO)","FERRETERIA","BULTO","139.0","2026-05-13"
"HERRAJE PARA SILLA PLEGABLE C14 SS304 ASSEMBLIK","FERRETERIA","PZ","",""
"HILO DE CORTE REDONDO STHIL 00009302289","FERRETERIA","PZ","696.55","2024-12-12"
"HILO DUAL PARA DESBROZADORA 2.7MM X 63M COD. 15966","FERRETERIA","PZ","171.55","2024-12-12"
"HULE ESPUMA 1.80 X 1.00 MT 2.5 CM CONO DE HUEVO","TELAS Y LONAS","PZ","",""
"HULE ESPUMA 20F 1.80 X 1.00 MT 12 CM","TELAS Y LONAS","PZ","",""
"HULE ESPUMA 20F 1.80 X 1.00 MT 2.5 CM","TELAS Y LONAS","PZ","",""
"HYDROCROM ACABADO SUPERMATE XGC6058 MILESI","BARNIZ, ACEITE Y PINTURA","LT","440.07","2026-03-17"
"HYDROCROM IMPREGNANTE NEUTRO XWC2A02 MILESI","BARNIZ, ACEITE Y PINTURA","LT","317.83","2026-03-17"
"IMAN CIRCULAR 8X3MM","FERRETERIA","PZ","5.55","2026-03-09"
"IMAN CIRCULAR 8X4MM","FERRETERIA","PZ","",""
"IMAN NEODIMIO 15X3mm - 4 HOLE  AGUJERO AVELLANADO GRADO N35","FERRETERIA","PZ","21.03","2026-01-05"
"IMPERMEABLE CON CAPUCHA","EQ SEGURIDAD","PZ","",""
"INSERTO (CASQUILLO) P/ATORNILLAR ZINC 1/4-20X13 030.06.166","FERRETERIA","PZ","",""
"INSERTO (CASQUILLO) P/ATORNILLAR ZINC 3/16","FERRETERIA","PZ","",""
"INTERRUPTOR 2P1T 2 POSICIONES 20/30A 250/600V ARROWN HART","ELECTRICO E ILUMINACION","PZ","367.11","2026-02-24"
"INTERRUPTOR ARRANCADOR 2 POSICIONES ARROW HART 30A","ELECTRICO E ILUMINACION","PZ","384.0","2025-01-13"
"INTERRUPTOR TERMOMAGNETICO 1X15A BTPLUG-002 GEO","ELECTRICO E ILUMINACION","PZ","124.0","2026-01-22"
"JABON PARA MANOS GINEZ","PRODUCTO DE LIMPIEZA","LT","13.36","2025-04-21"
"JALADERA CUADRADA DE ALUMINIO 1/2 X 156mm","FERRETERIA","PZ","",""
"JALADERA CUADRADA DE ALUMINIO 1/2 X 348mm","FERRETERIA","PZ","",""
"JALADERA CUADRADA DE ALUMINIO 1/2 X 508mm","FERRETERIA","PZ","",""
"JALADERA DE EMBUTIR 3"" TOVIC ESPAÑOLA COLOR NATURAL","FERRETERIA","PZ","",""
"JALADERA FINCSA LATON MATE 0100460A00","FERRETERIA","PZ","",""
"JALADERA INOX WIN T2-41 162X192MM","FERRETERIA","PZ","143.39","2025-06-27"
"JALADERA INOX WIN T2-44 67X96MM","FERRETERIA","PZ","85.14","2025-06-27"
"JALADERA LLAMADOR TRENZADO LATON ANTIGUO CERRAJES 0404-164","FERRETERIA","PZ","",""
"JALADERA RISH COCINA 128MM NIQUEL SATIN 130712","FERRETERIA","PZ","",""
"JALADERA RISH COCINA 160MM NEGRO 130724","FERRETERIA","PZ","",""
"JALADERA RISH EMPERATRIZ PERILLA 1.9 CM DORADO","FERRETERIA","PZ","25.86","2025-12-30"
"JALADERA TIRADOR LATON REDONDOS ZARA HOME NO. ID. 4737855530302","FERRETERIA","PAR","257.76","2025-10-24"
"JALADERA ZAMAK 128MM (50) H3006-2-BSN","FERRETERIA","PZ","",""
"JUNTA CONSTRUCTIVA 1"" 1.22X2.44 (UNICEL)","CONSTRUCCION","PZ","",""
"KIT 2H TAURO STD 10300001443 DUCASE","FERRETERIA","KIT","",""
"KIT DE REPARACION DE MUEBLES (25 PZ) YONGLI","FERRETERIA","KIT","",""
"KOLA LOKA 2g.","PEGAMENTOS Y RESINAS","PZ","22.41","2025-01-31"
"LACA INDUSTRIAL AMARILLO CROMO","BARNIZ, ACEITE Y PINTURA","LT","",""
"LACA INDUSTRIAL BLANCO","BARNIZ, ACEITE Y PINTURA","LT","",""
"LACA INDUSTRIAL MARRON ROYAL","BARNIZ, ACEITE Y PINTURA","LT","",""
"LACA INDUSTRIAL NEGRO","BARNIZ, ACEITE Y PINTURA","LT","",""
"LACA INDUSTRIAL ROJO OXIDO","BARNIZ, ACEITE Y PINTURA","LT","",""
"LAMINA DE LATON C-18 0.61 X 2.44 MARVAN METALS","METALICOS","HOJA","",""
"LAMINA DE LATON C-18 1.25X610X2440 MM SEMIDURA","METALICOS","HOJA","",""
"LAMINA TRN 100 6.10 X 1.10 CAL 26.","METALICOS","PZ","",""
"LAMPARA LED 125W LUZ BLANCA 2300 LUMENES COMERCIAL ELECTRIC 144956","ELECTRICO E ILUMINACION","PZ","",""
"LAMPARA LED 18T8LED120MV65CT 18W 6500K CRISTAL TRANSPARENTE C/BASE Y CLIP PLASTICO","ELECTRICO E ILUMINACION","KIT","",""
"LAMPARA LED T8F-LED240/36/65 LAMP LED TUBOS 36W 100 240V6500KFA83600LM C/BASE Y CLIP PLASTICO","ELECTRICO E ILUMINACION","KIT","",""
"LAPIZ","PAPELERIA","PZ","",""
"LED HAFELE ADAPTADOR DISTRIBUIDOR LOOX5 12V 833.95.786","ELECTRICO E ILUMINACION","PZ","107.81","2025-03-25"
"LED HAFELE ADAPTADOR PARA LA CONEXION DE LOS CONSUMIDORES LOOX 833.95.753","ELECTRICO E ILUMINACION","PZ","",""
"LED HAFELE ALIMENTADOR 12V 20W NEGRO 833.95.000","ELECTRICO E ILUMINACION","PZ","628.94","2025-09-29"
"LED HAFELE ALIMENTADOR 12V 40W NEGRO 833.74.901 PASA A LA 833.74.962","ELECTRICO E ILUMINACION","PZ","",""
"LED HAFELE ALIMENTADOR 12V 40W NEGRO 833.95.002","ELECTRICO E ILUMINACION","PZ","959.84","2025-03-11"
"LED HAFELE ALIMENTADOR 12V 60W NEGRO 833.95.003","ELECTRICO E ILUMINACION","PZ","1246.29","2025-02-08"
"LED HAFELE ALIMENTADOR LOOX5 24V 20 WATS 833.75.932","ELECTRICO E ILUMINACION","PZ","405.17","2026-03-06"
"LED HAFELE CABLE ALIMENTACION 12V 200CM 833.95.714","ELECTRICO E ILUMINACION","PZ","90.96","2025-03-25"
"LED HAFELE CABLE ALIMENTACION 12V 833.95.700","ELECTRICO E ILUMINACION","PZ","108.09","2025-09-29"
"LED HAFELE CABLE ALIMENTACION LOOX5 24V 833.75.764","ELECTRICO E ILUMINACION","PZ","108.11","2026-03-06"
"LED HAFELE CABLE PRIMARIO US/CSA 250V 2000MM 833.89.003","ELECTRICO E ILUMINACION","PZ","81.89","2026-03-06"
"LED HAFELE CONECTOR CLIP LOOX5 8MM 833.75.767","ELECTRICO E ILUMINACION","PZ","49.41","2026-01-26"
"LED HAFELE DISTRIBUIDOR LOOX CON CONMUTACION 833.95.748","ELECTRICO E ILUMINACION","PZ","262.42","2025-06-12"
"LED HAFELE INTERRUPTOR CONVENCIONAL DE BALANCIN 833.89.106","ELECTRICO E ILUMINACION","PZ","",""
"LED HAFELE INTERRUPTOR DE CONTACTO DE PUERTA PLASTICO NEGRO 833.89.059","ELECTRICO E ILUMINACION","PZ","112.63","2025-06-12"
"LED HAFELE PERFIL DE ESQ. 2195 833.72.987","ELECTRICO E ILUMINACION","TRAMO","378.53","2026-01-26"
"LED HAFELE PERFIL MONTAJE SUPERFICIE 2500 MM BLCO 833.72.981","ELECTRICO E ILUMINACION","TRAMO","339.96","2026-01-26"
"LED HAFELE SWITCH BOTON NEGRO 833.89.108","ELECTRICO E ILUMINACION","PZ","113.84","2026-02-03"
"LED HAFELE SWITH BOTON GRIS 12MM 833.89.107","ELECTRICO E ILUMINACION","PZ","108.43","2025-03-11"
"LED HAFELE TIRA LED 2043 833.73.121 BLANCO CALIDO","ELECTRICO E ILUMINACION","PAQ","",""
"LED HAFELE TIRA LED 2062 833.74.337 (5 MT) BLANCO CALIDO","ELECTRICO E ILUMINACION","PAQ","",""
"LED HAFELE TIRA LED 2062 833.74.339 (5 MT)","ELECTRICO E ILUMINACION","PAQ","1368.46","2025-09-29"
"LED HAFELE TIRA LED LOOX5 24V 8MM CALIDA 4.8W (5MT) 833.76.501","ELECTRICO E ILUMINACION","PAQ","1308.47","2026-01-26"
"LENTE DE SEGURIDAD CABEL CAB-14 AMBAR","EQ SEGURIDAD","PZ","",""
"LENTE DE SEGURIDAD DERMA CARE MOD. AL-012-CL (ANTIEMPAÑANTE)","EQ SEGURIDAD","PZ","20.52","2025-05-21"
"LENTE DE SEGURIDAD DERMA CARE MOD. AL-012-GR (OBSCURO)","EQ SEGURIDAD","PZ","",""
"LENTE DE SEGURIDAD TIPO GOGGLE","EQ SEGURIDAD","PZ","",""
"LIBRETA PROFESIONAL","PAPELERIA","PZ","",""
"LIJA FANDELI AGUA 1000","LIJAS Y ABRASIVOS","PZ","",""
"LIJA FANDELI AGUA 2000","LIJAS Y ABRASIVOS","PZ","",""
"LIJA FANDELI AGUA 220","LIJAS Y ABRASIVOS","PZ","8.62","2026-02-27"
"LIJA FANDELI AGUA 240","LIJAS Y ABRASIVOS","PZ","8.62","2026-02-27"
"LIJA FANDELI AGUA 320","LIJAS Y ABRASIVOS","PZ","8.62","2026-05-20"
"LIJA FANDELI AGUA 400","LIJAS Y ABRASIVOS","PZ","",""
"LIJA FANDELI LONA 040","LIJAS Y ABRASIVOS","PZ","21.55","2026-02-27"
"LIJA FANDELI LONA 080","LIJAS Y ABRASIVOS","PZ","17.24","2026-02-27"
"LIJA FANDELI LONA 100","LIJAS Y ABRASIVOS","PZ","16.38","2026-02-27"
"LIJA FANDELI LONA 120","LIJAS Y ABRASIVOS","PZ","16.38","2026-02-27"
"LIJA FANDELI LONA 150 (J-086)","LIJAS Y ABRASIVOS","PZ","13.79","2026-02-27"
"LIJA FANDELI LONA 220","LIJAS Y ABRASIVOS","PZ","",""
"LIJA TRIANGULAR 6"" VELCRO DEER 150","LIJAS Y ABRASIVOS","PZ","6.9","2025-11-07"
"LIJA TRIANGULAR 6"" VELCRO DEER 220","LIJAS Y ABRASIVOS","PZ","6.9","2025-11-07"
"LIJA TRIANGULAR 6"" VELCRO DEER 320","LIJAS Y ABRASIVOS","PZ","6.9","2025-11-07"
"LIJADORA DYNABRADE 5"" 12000 RPM 56815 S/N: KH14783B","HERRAMIENTAS","PZ","4600.0","2025-11-07"
"LIMA PARA MOTOSIERRA STIHL 56057724006 7/8 X 5/32""","FERRETERIA","PZ","",""
"LIMA PARA MOTOSIERRA STIHL 56057724806 7/8 X 3/16""","FERRETERIA","PZ","",""
"LIMA PLANA MUSA 10"" 120343","FERRETERIA","PZ","",""
"LIMA TRIANGULAR 6"" 120376 SURTEK","FERRETERIA","PZ","",""
"LIMA TRIANGULAR 6"" 19679 TRUPER","FERRETERIA","PZ","",""
"LLAVE ALLEN 3/8"" URREA TIPO ""T""","FERRETERIA","PZ","",""
"LLAVE ALLEN 3mm","FERRETERIA","PZ","",""
"LLAVE ALLEN 4mm ""T"" HEXAGONAL 6""","FERRETERIA","PZ","41.8","2025-10-16"
"LLAVE ESPAÑOLA 11/1 FOY","FERRETERIA","PZ","",""
"LLAVE INGLESA ULTRA DELGADA METRICA 3MM  (11MM Y 13MM)","FERRETERIA","PZ","67.67","2026-04-21"
"LOBUS FONDO POLIURETANO C/CAT Y SOLVENTE","BARNIZ, ACEITE Y PINTURA","LT","",""
"LOBUS LACA POLIURETANO TRANS MATE PROFUNDO C/CAT Y SOLVENTE","BARNIZ, ACEITE Y PINTURA","LT","",""
"LOKWELD RALPH WILSON WA-700CCA142OZCAN ADHESIVO EN SPRAY 700 A","PEGAMENTOS Y RESINAS","PZ","",""
"LONA REFORZADA CORREO MAYOR 6X12 MT","TELAS Y LONAS","PZ","",""
"MACHETE STDR 22"" CACHA NEGRA, TRUPER","FERRETERIA","PZ","",""
"MACHUELO AC 6M X1.0 30-727","FERRETERIA","PZ","",""
"MADERA ASERRADA AYACAHUITE ARBOL DE LA VIDA","MADERA","PT","72.0","2025-02-12"
"MADERA ASERRADA CASUARINA ARBOL DE LA VIDA","MADERA","PT","",""
"MADERA ASERRADA CEDRO 1A. LA ASUNCION","MADERA","PT","47.0","2025-11-04"
"MADERA ASERRADA ENCINO AMERICANO ARBOL DE LA VIDA","MADERA","PT","",""
"MADERA ASERRADA ENEBRO CIPRES ARBOL DE LA VIDA","MADERA","PT","72.0","2025-01-20"
"MADERA ASERRADA MACUIL (ROBLE) ARBOL DE LA VIDA","MADERA","PT","80.0","2026-04-10"
"MADERA ASERRADA MACUIL 1A ESTUFADA PT LA ASUNCION","MADERA","PT","67.05","2025-11-20"
"MADERA ASERRADA MACUIL 1A ESTUFADA PT LA ASUNCION (ANCHA)","MADERA","PT","74.95","2025-05-29"
"MADERA ASERRADA MACUIL 2A ESTUFADA PT LA ASUNCION","MADERA","PT","51.16","2025-04-15"
"MADERA DE CAOBA ESTUFADA ""ARBOL DE LA VIDA""","MADERA","PT","76.0","2025-06-23"
"MADERA DE CEDRO SELECTO ESTUFADO ""ARBOL DE LA VIDA""","MADERA","PT","76.0","2025-08-12"
"MADERA DE HUANACAXTLE ESTUFADA ARBOL DE LA VIDA","MADERA","PT","85.0","2026-05-11"
"MADERA DE MACHICHE ""ARBOL DE LA VIDA""","MADERA","PT","",""
"MADERA DE PINO (TABLETA) 4"", 6"", 8"", 10"", 12"" FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 1 X 8 X 8-1/4 (TABLA) LA ASUNCION","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 10 X 8-1/4 (TABLON) MANCOMUNADOS","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 10 X 8-1/4 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 10 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 1-1/2 X 12 X 8-1/4 (TABLON) LA ASUNCION","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 12 X 8-1/4 (TABLON) MANCOMUNADOS","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 12 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 1-1/2 X 4 X 8-1/4 (TABLON) MANCOMUNADOS","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 4 X 8-1/4 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 4 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 1-1/2 X 6 X 8-1/4 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 6 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 1-1/2 X 8 X 8-1/4 (TABLON) LA ASUNCION","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 8 X 8-1/4 (TABLON) MANCOMUNADOS","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 8 X 8-1/4 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 1-1/2 X 8 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 3/4  X 6 X 8-1/4 (TABLA) LA ASUNCION","MADERA","PZ","109.39","2025-04-29"
"MADERA DE PINO 1a 3/4 X 10 X 8-1/4 (TABLA) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 3/4 X 10 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 3/4 X 11 X 8-1/4 (TABLA) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 3/4 X 12 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 3/4 X 4 X 6 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 3/4 X 4 X 8-1/4 (TABLA) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 3/4 X 4 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 3/4 X 6 X 8-1/4 (TABLA) PASAM","MADERA","PZ","",""
"MADERA DE PINO 1a 3/4 X 6 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a 3/4 X 8 X 8-1/4 (TABLA) LA ASUNCION","MADERA","PZ","148.44","2025-11-04"
"MADERA DE PINO 1a 3/4 X 8 X 8-1/4 (TABLA) PASAM","MADERA","PZ","173.0","2025-05-22"
"MADERA DE PINO 1a 3/4 X 8 X 8-1/4 FSC 100% IXTLAN","MADERA","PT","",""
"MADERA DE PINO 1a. 3/4 X 10 X 8-1/4 (TABLA) LA ASUNCION","MADERA","PZ","",""
"MADERA DE PINO 2a 1-1/2 X 8 X 8-1/4 (TABLON) LA ASUNCION","MADERA","PZ","",""
"MADERA DE PINO 2a 3/4 X 4 X 8-1/4 (TABLA) ML","MADERA","PZ","76.72","2026-04-09"
"MADERA DE PINO 2a 3/4 X 8 X 8-1/4 (TABLON) LA ASUNCION","MADERA","PZ","",""
"MADERA DE PINO 3-1/2 X 8 X 17 VIGA PASAM","MADERA","PT","40.34","2025-11-10"
"MADERA DE PINO 3a 2"" X 10 X 8 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 3a 2"" X 8 X 8 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 3a 2"" X 9 X 8 (TABLON) PASAM","MADERA","PZ","",""
"MADERA DE PINO 3a 3/4 X 4 X 8-1/4 ML","MADERA","PZ","",""
"MADERA DE PINO IMPREGNADO (TRATADO) 2a LA ASUNCION","MADERA","PZ","452.4","2026-05-04"
"MADERA DE TECA TECTONA GRANDIS","MADERA","PT","",""
"MADERA DE TZALAM 1A ESTUFADA PT LA ASUNCION","MADERA","PT","65.76","2026-05-25"
"MADERA DE TZALAM 1A ESTUFADA PT WASH","MADERA","PT","85.0","2026-05-05"
"MADERA DE TZALAM MR ""ARBOL DE LA VIDA""","MADERA","PT","",""
"MADERA ESTUFADA TZALAM ARBOL DE LA VIDA","MADERA","PT","88.0","2026-04-28"
"MALLA PARA GALLINERO 25MM X 1M ALTO","FERRETERIA","MT","31.03","2025-05-28"
"MALLA ROMBO METAL DESP D20-18 X 90","FERRETERIA","ROLLO","1525.86","2025-06-05"
"MALLA ROMBO METAL DESP E25-18","FERRETERIA","MT","",""
"MALLA ROMBO METAL DESP G34-16","FERRETERIA","MT","",""
"MANDRIL 3/8"" TRUPER 101390","SIERRAS, CUCHILLAS Y BROCAS","PZ","85.34","2025-01-07"
"MANGUERA PARA AIRE 1/4 GATES REFORZADA 40142000 SURTIMACO CODIGO: EC2004","MANTENIMIENTO","PZ","85.34","2026-02-27"
"MANGUERA PARA GAS CON CONECTORES","MANTENIMIENTO","MT","",""
"MARCADOR PARA PIZARRON BLANCO","PAPELERIA","PZ","",""
"MARCADOR PERMANENTE NEGRO","PAPELERIA","PZ","",""
"MARCADOR PERMANENTE ROJO","PAPELERIA","PZ","",""
"MARTILLO UÑA CURVA 16 OZ 16752","HERRAMIENTAS","PZ","86.77","2026-02-27"
"MASCARILLA (RESPIRADOR) CON CARTUCHO FILTRO PRETUL 23390 RES-1-P","EQ SEGURIDAD","KIT","",""
"MASCARILLA (RESPIRADOR) MEDIA, AJUSTABLE, DOBLE FILTRO MCA. GONI MOD. 635","EQ SEGURIDAD","PZ","132.66","2026-05-13"
"MASCARILLA QUIRURGICA TRICAPA (CUBREBOCA)","EQ SEGURIDAD","PZ","1.53","2026-04-30"
"MASCARILLA RESPIRADOR CONCHA C/VALVULA","EQ SEGURIDAD","PZ","",""
"MASCARILLAS KN-95","EQ SEGURIDAD","PZ","3.32","2026-02-10"
"MASKING TAPE 3M AZUL 1-1/2""","FERRETERIA","PZ","94.4","2025-05-21"
"MASKING TAPE 3M AZUL 3/4""","FERRETERIA","PZ","97.84","2025-05-21"
"MASKING TAPE FANDELI 18mm X 50m 3/4"" 72161","FERRETERIA","PZ","13.91","2026-01-14"
"MASKING TAPE FANDELI 48mm X 50m 2""","FERRETERIA","PZ","",""
"MASKING TAPE TRUPER 3/4"" X 50M","FERRETERIA","PZ","",""
"MDF BLANCO ABSOLUTO MEL LOBUS 2/C 15X1.22X2.44","MDF, TRIPLAY, ECOTAB","HOJA","508.62","2025-06-25"
"MDF BLANCO CRISTAL MEL PROTEAK 2/C 15X1.22X2.44","MDF, TRIPLAY, ECOTAB","HOJA","",""
